building,mae,rmse,mape
Edificio Apolonia,10.373031842264163,26.245651093804568,18.134968782559227
Edificio Mullin,14.223116320159262,37.15628235972171,15.522300905007807
Edificio Athanasius,8.439387469225924,21.28071834178766,18.1199738158874
Edificio Semprún,23.676292503483914,60.37432752160441,17.99455239765199
Edificio Central,67.49838800043733,171.90802469190874,17.437750868512534
Edificio Xalambrí,2.137041327208911,5.406294500162585,17.97486341220281
Edificio Madre Marta,3.190948921880152,8.06567229811056,19.322325304448686
