building,threshold,test_anomalies,mean_reconstruction_error
Edificio Apolonia,0.049085631514145994,1892,0.12677836607572984
Edificio Mullin,0.05082266704144573,1854,0.10432404763324232
Edificio Athanasius,0.07077663408962652,1635,0.1357407819108839
Edificio Semprún,0.05375968531124132,1844,0.13752311034472697
Edificio Central,0.054624964808861205,1827,0.13084549600085074
Edificio Xalambrí,0.08824030889672292,1409,0.15920088466521765
Edificio Madre Marta,0.05318166947603325,1808,0.13820012267432244
